question,option,count,total,percentage,is_multi_select,source_image
"Muốn làm quiz sau bài lý thuyết","Có",23,24,95.8,false,"1785398020287_5461511038421174325_5461511038421174325_ef44961d69190fe533247bef9a463d5b.jpg"
"Muốn làm quiz sau bài lý thuyết","Không",1,24,4.2,false,"1785398020287_5461511038421174325_5461511038421174325_ef44961d69190fe533247bef9a463d5b.jpg"
"Phạm vi ôn tập","Cả bài",15,24,62.5,true,"1785398020287_5461511038421174325_5461511038421174325_ef44961d69190fe533247bef9a463d5b.jpg"
"Phạm vi ôn tập","Từng chương",13,24,54.2,true,"1785398020287_5461511038421174325_5461511038421174325_ef44961d69190fe533247bef9a463d5b.jpg"
"Phạm vi ôn tập","Từng điểm kiến thức",8,24,33.3,true,"1785398020287_5461511038421174325_5461511038421174325_ef44961d69190fe533247bef9a463d5b.jpg"
"Số câu quiz","5 câu",5,24,20.8,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Số câu quiz","10 câu",10,24,41.7,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Số câu quiz","15 câu",6,24,25.0,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Số câu quiz","Nhiều hơn",1,24,4.2,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Số câu quiz","7-8 câu",1,24,4.2,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Số câu quiz","Tùy theo nội dung bài giảng",1,24,4.2,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Loại câu hỏi","Trắc nghiệm",14,24,58.3,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Loại câu hỏi","Cả hai",8,24,33.3,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Loại câu hỏi","Tự luận",2,24,8.3,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Muốn tổng hợp kiến thức và điểm yếu","Có",23,24,95.8,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
"Muốn tổng hợp kiến thức và điểm yếu","Không",1,24,4.2,false,"1785398044631_5461511038421174325_5461511038421174325_faba1e5dcb111c6a43541b6b05c8dabb.jpg"
